Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
180,Ahmad Bradshaw,IND,RB,null,0,0,0,0,0,0,0,0,0,0,0,0
180,Cyrus Gray,ATL,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
180,Bernard Pierce,NYJ,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
180,Dri Archer,BUF,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
180,Gus Johnson,ATL,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
180,Nikita Whitlock,NYG,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
180,David Cobb,PIT,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
180,Lache Seastrunk,NYJ,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
180,Terrence Magee,LAR,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
180,Senorise Perry,CHI,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
180,Dreamius Smith,LAC,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
180,Tyler Gaffney,NE,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
180,Rajion Neal,CLE,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
196,James Wilder,BUF,RB,16,5,16,3.2,0,0,0,0,0,1,1,0,-0.4
197,Darius Jackson,DAL,RB,16,2,5,2.5,0,0,0,4,0,1,1,-0.1,-1.1
